Frame Number,Processing Time (seconds)
0,0.013957
1,0.013957
2,0.013957
3,0.013957
4,0.013957
5,0.013957
6,0.013957
7,0.013957
8,0.013957
9,0.013957
10,0.013957
11,0.013957
12,0.013957
13,0.013957
14,0.013957
15,0.013957
16,0.013957
17,0.013957
18,0.013957
19,0.013957
20,0.013957
21,0.013957
22,0.013957
23,0.013957
24,0.013957
25,0.013957
26,0.013957
27,0.013957
28,0.013957
29,0.013957
30,0.013957
31,0.013957
32,0.013957
33,0.013957
34,0.013957
35,0.013957
36,0.013957
37,0.013957
38,0.013957
39,0.013957
40,0.013957
41,0.013957
42,0.013957
43,0.013957
44,0.013957
45,0.013957
46,0.013957
47,0.013957
48,0.013957
49,0.013957
50,0.013957
51,0.013957
52,0.013957
53,0.013957
54,0.013957
55,0.013957
56,0.013957
57,0.013957
58,0.013957
59,0.013957
60,0.013957
61,0.013957
62,0.013957
63,0.013957
64,0.013957
65,0.013957
66,0.013957
67,0.013957
68,0.013957
69,0.013957
70,0.013957
71,0.013957
72,0.013957
73,0.013957
74,0.013957
75,0.010693
76,0.010693
77,0.010693
78,0.010693
79,0.010693
80,0.010693
81,0.010693
82,0.010693
83,0.010693
84,0.010693
85,0.010693
86,0.010693
87,0.010693
88,0.010693
89,0.010693
90,0.010693
91,0.010693
92,0.010693
93,0.010693
94,0.010693
95,0.010693
96,0.010693
97,0.010693
98,0.010693
99,0.010693
100,0.010693
101,0.010693
102,0.010693
103,0.010693
104,0.010693
105,0.010693
106,0.010693
107,0.010693
108,0.010693
109,0.010693
110,0.010693
111,0.010693
112,0.010693
113,0.010693
114,0.010693
115,0.010693
116,0.010693
117,0.010693
118,0.010693
119,0.010693
120,0.010693
121,0.010693
122,0.010693
123,0.010693
124,0.010693
125,0.010693
126,0.010693
127,0.010693
128,0.010693
129,0.010693
130,0.010693
131,0.010693
132,0.010693
133,0.010693
134,0.010693
135,0.010693
136,0.010693
137,0.010693
138,0.010693
139,0.010693
140,0.010693
141,0.010693
142,0.010693
143,0.010693
144,0.010693
145,0.010693
146,0.010693
147,0.010693
148,0.010693
149,0.010693
